# Datenquellen:
# 1) Robert Koch-Institut (SurvStat@RKI 2.0), https://survstat.rki.de, Abfragedatum: 22.09.2020; Datenstand: 2020-09-22 01:38:06; eigene Berechnung/eigene Darstellung
#    Meldungen aller Krankheiten 2020 als Neuinfizierte und Inzidenz für die Kreise zur Rückrechnung der Populationsdaten, die das RKI benutzt
#    für eigene Inzidenz-Berechnungen mit RKI/NPGEO (ArcGis-Hub) Daten.
#    Betrifft Spalten "A00-A04" bis "Einwohner in 100k (RKI SurvStat)"
# 2) Statistisches Bundesamt (Destatis), Genesis-Online, 12.09.2020; Datenlizenz by-2-0; eigene Berechnung/eigene Darstellung
#    Betrifft Spalten "Einwohner in 100k (Destatis Genesis)"
#    Web: https://www-genesis.destatis.de/genesis//online?operation=table&code=12411-0012&bypass=true&levelindex=1&levelid=1599941808956#abreadcrumb
# Datenlizenz by-2-0: https://www.govdata.de/dl-de/by-2-0
RKI NPGEO Kreis	SurvStat Kreis	Bundesland	Id	A00-A04	A05-A14	A15-A34	A35-A59	A60-A79	A80+	Einwohner in 100k (RKI SurvStat)	Einwohner in 100k (Destatis Genesis)
LK Coburg	LK Coburg	Bayern	9473	0.03789	0.07265	0.18	0.31324	0.2042	0.06108	0.86906	0.86747
LK Cochem-Zell	LK Cochem-Zell	Rheinland-Pfalz	7135	0.0249	0.0503	0.12806	0.21552	0.15027	0.04682	0.61587	0.61375
LK Coesfeld	LK Coesfeld	Nordrhein-Westfalen	5558	0.10728	0.20324	0.47839	0.79548	0.4797	0.1352	2.19929	2.20586
LK Cuxhaven	LK Cuxhaven	Niedersachsen	3352	0.08505	0.17669	0.39187	0.68667	0.49834	0.14351	1.98213	1.98038
LK Dachau	LK Dachau	Bayern	9174	0.07873	0.14776	0.36117	0.5764	0.29394	0.08084	1.53884	1.54899
LK Dahme-Spreewald	LK Dahme-Spreewald	Brandenburg	12061	0.07677	0.14951	0.29488	0.63397	0.41039	0.12515	1.69067	1.70791
LK Darmstadt-Dieburg	LK Darmstadt-Dieburg	Hessen	6432	0.14535	0.27473	0.6569	1.08319	0.64393	0.16991	2.97401	2.97844
LK Deggendorf	LK Deggendorf	Bayern	9271	0.05129	0.10324	0.28409	0.42945	0.25701	0.06818	1.19326	1.19478
LK Diepholz	LK Diepholz	Niedersachsen	3251	0.09808	0.19814	0.45758	0.78249	0.4871	0.14547	2.16886	2.17089
LK Dillingen a.d.Donau	LK Dillingen a.d.Donau	Bayern	9773	0.04546	0.08837	0.22321	0.3431	0.20246	0.05761	0.96021	0.96562
